phase,strategy,alpha,seed,runtime_s,final_mse,eq2_sum_nosqrt__abs,mean_pairs_nosqrt__abs,rms_over_pairs__abs,sqrt_eq2_sum__abs,eq2_sum_nosqrt__signed,mean_pairs_nosqrt__signed,rms_over_pairs__signed,sqrt_eq2_sum__signed
K4,base,0.0,42,3.1,0.00041967970901168883,0.9668707932222201,0.16114513220370336,0.401428863192102,0.9832958828461655,1.0235979605530388,0.1705996600921731,0.4130371170877662,1.011730181695218
K4,base,0.0,43,3.2,0.0003892221429850906,1.9854570744767623,0.3309095124127937,0.5752473488967974,1.4090624806859213,2.1543495268644812,0.35905825447741363,0.59921469814868,1.4677702568401096
K4,ova,0.1,42,8.6,0.0006558889290317893,1.3133701705896275,0.21889502843160458,0.4678621895725327,1.1460236343939978,1.4612863471883333,0.2435477245313889,0.4935055466065087,1.2088367744192485
K4,ova,0.1,43,8.6,0.000735343259293586,4.914890147142814,0.8191483578571357,0.9050681509461791,2.216955152262403,6.978918329137901,1.163153054856317,1.0784957370598722,2.6417642455635404
K4,pair,5.0,42,7.9,0.028817608952522278,1.4039426005817224,0.23399043343028708,0.4837255765723858,1.1848808381359377,1.6080897327562178,0.2680149554593696,0.5177016085153393,1.268104779880676
K4,pair,5.0,43,7.5,0.024325989186763763,10.829460880665142,1.8049101467775237,1.3434694439314665,3.290814622652747,17.530752717676652,2.921792119612775,1.7093250479685762,4.186974172081391
K4,agg,0.5,42,14.5,0.0004318832652643323,0.9695637426383837,0.1615939571063973,0.40198750864473054,0.9846642791522315,1.0393256913163778,0.17322094855272963,0.4161982082526661,1.0194732420796426
K4,agg,0.5,43,15.6,0.00039534474490210414,2.0541137296263874,0.34235228827106456,0.5851087832797116,1.4332179630559991,2.2604680275909987,0.3767446712651665,0.6137953007845258,1.5034852934402114
