part,strategy,alpha,seed,mean_ipm,mean_eps_tar
trained_repr,pair,0.0,0,0.12971282184076768,0.06644673509680656
trained_repr,pair,0.0,1,0.12722427046584062,0.07205243588866235
trained_repr,pair,0.0,2,0.13387295662279755,0.101956250371934
trained_repr,pair,0.1,0,0.054091678446727465,0.21729759249293035
trained_repr,pair,0.1,1,0.04590968738208732,0.26891819706828374
trained_repr,pair,0.1,2,0.049635419316769507,0.2749981103934208
trained_repr,pair,0.5,0,0.011666769496916219,0.48112998460896117
trained_repr,pair,0.5,1,0.013997619452810679,0.4797082175896524
trained_repr,pair,0.5,2,0.015792161814986983,0.48640437056045527
trained_repr,pair,2.0,0,0.008878581308891118,0.5062074964450324
trained_repr,pair,2.0,1,0.007591610736185194,0.5088522521794492
trained_repr,pair,2.0,2,0.012871753183469427,0.5084186425625838
trained_repr,pair,8.0,0,0.00709795917046161,0.5263682691429209
trained_repr,pair,8.0,1,0.007936715400265394,0.5264256226998445
trained_repr,pair,8.0,2,0.012145509251064156,0.5228541398217903
trained_repr,ova,0.0,0,0.12971282184076768,0.06644673509680656
trained_repr,ova,0.0,1,0.12722427046584062,0.07205243588866235
trained_repr,ova,0.0,2,0.13387295662279755,0.101956250371934
trained_repr,ova,0.1,0,0.11075582645371741,0.07672226338996563
trained_repr,ova,0.1,1,0.10716560677155844,0.10783085295227902
trained_repr,ova,0.1,2,0.1055502773056093,0.13192288581108372
trained_repr,ova,0.5,0,0.01454005846182028,0.4625782436559567
trained_repr,ova,0.5,1,0.01891317371011274,0.4455082257112402
trained_repr,ova,0.5,2,0.01760412802257605,0.4496389763847208
trained_repr,ova,2.0,0,0.009718875495980791,0.4964785349328393
trained_repr,ova,2.0,1,0.009885344546831236,0.49497449653649767
trained_repr,ova,2.0,2,0.013639667752833545,0.5094942486870362
trained_repr,ova,8.0,0,0.00781596120222132,0.5194963108927927
trained_repr,ova,8.0,1,0.008313301214291675,0.5206913329948422
trained_repr,ova,8.0,2,0.013616090435772955,0.5137751885638556
trained_repr,agg,0.0,0,0.12971282184076768,0.06644673509680656
trained_repr,agg,0.0,1,0.12722427046584062,0.07205243588866235
trained_repr,agg,0.0,2,0.13387295662279755,0.101956250371934
trained_repr,agg,0.1,0,0.12783076729167142,0.06576100136795461
trained_repr,agg,0.1,1,0.125738660780808,0.0686782046157153
trained_repr,agg,0.1,2,0.13268456362848058,0.10247260496014739
trained_repr,agg,0.5,0,0.1225563765812203,0.060494189460223474
trained_repr,agg,0.5,1,0.12160799833166049,0.06530993957085869
trained_repr,agg,0.5,2,0.12785758924783178,0.09811008156340116
trained_repr,agg,2.0,0,0.1179344210992146,0.061748314293760174
trained_repr,agg,2.0,1,0.11861795572180762,0.0645126263645092
trained_repr,agg,2.0,2,0.12093460954783426,0.0904774686663274
trained_repr,agg,8.0,0,0.11638110651532824,0.06661273793668747
trained_repr,agg,8.0,1,0.11676409485921513,0.0735149585604994
trained_repr,agg,8.0,2,0.11688967090099382,0.09407380230620466
