part,model,source,target,source_risk,target_risk,tv,abs_gap_over_tv,model_arm_loss_disagreement,bound_holds,treatment,empirical_risk,population_risk,absolute_gap,hoeffding_radius
step2_trained_tv,pair-alpha-0,0,1,0.00011491869837308357,0.00011529829142520473,0.27232900592007064,1.3938766854404812e-06,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,0,2,0.00011491869837308357,0.00016009083673647445,0.4397316797430353,0.00010272659543153224,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,0,3,0.00011491869837308357,0.0002640309331161579,0.5798359356089058,0.0002571628034514391,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,1,0,0.00011529829142520473,0.00011491869837308357,0.27232900592007064,1.3938766854404812e-06,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,1,2,0.00011529829142520473,0.00016009083673647445,0.176048288085827,0.0002544332909924831,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,1,3,0.00011529829142520473,0.0002640309331161579,0.42847686776670113,0.00034711941969277035,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,2,0,0.00016009083673647445,0.00011491869837308357,0.4397316797430353,0.00010272659543153224,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,2,1,0.00016009083673647445,0.00011529829142520473,0.176048288085827,0.0002544332909924831,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,2,3,0.00016009083673647445,0.0002640309331161579,0.2664548458966009,0.00039008521699026606,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,3,0,0.0002640309331161579,0.00011491869837308357,0.5798359356089058,0.0002571628034514391,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,3,1,0.0002640309331161579,0.00011529829142520473,0.42847686776670113,0.00034711941969277035,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0,3,2,0.0002640309331161579,0.00016009083673647445,0.2664548458966009,0.00039008521699026606,5.854691731421724e-18,True,,,,,
step2_trained_tv,pair-alpha-0.5,0,1,0.04076775217648622,0.026724276234980072,0.27232900592007064,0.05156805054261443,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,0,2,0.04076775217648622,0.028638292635402893,0.4397316797430353,0.027583774605849147,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,0,3,0.04076775217648622,0.047994448152809704,0.5798359356089058,0.012463346151070271,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,1,0,0.026724276234980072,0.04076775217648622,0.27232900592007064,0.05156805054261443,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,1,2,0.026724276234980072,0.028638292635402893,0.176048288085827,0.010872110267210893,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,1,3,0.026724276234980072,0.047994448152809704,0.42847686776670113,0.049641354103183245,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,2,0,0.028638292635402893,0.04076775217648622,0.4397316797430353,0.027583774605849147,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,2,1,0.028638292635402893,0.026724276234980072,0.176048288085827,0.010872110267210893,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,2,3,0.028638292635402893,0.047994448152809704,0.2664548458966009,0.07264328577802658,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,3,0,0.047994448152809704,0.04076775217648622,0.5798359356089058,0.012463346151070271,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,3,1,0.047994448152809704,0.026724276234980072,0.42847686776670113,0.049641354103183245,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-0.5,3,2,0.047994448152809704,0.028638292635402893,0.2664548458966009,0.07264328577802658,6.938893903907228e-17,True,,,,,
step2_trained_tv,pair-alpha-2,0,1,0.1639309060451095,0.1057809105326205,0.27232900592007064,0.21352846831731243,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,0,2,0.1639309060451095,0.09058015597343688,0.4397316797430353,0.16680797279499254,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,0,3,0.1639309060451095,0.11704227496086222,0.5798359356089058,0.08086534173672401,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,1,0,0.1057809105326205,0.1639309060451095,0.27232900592007064,0.21352846831731243,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,1,2,0.1057809105326205,0.09058015597343688,0.176048288085827,0.08634423387163495,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,1,3,0.1057809105326205,0.11704227496086222,0.42847686776670113,0.026282315978778496,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,2,0,0.09058015597343688,0.1639309060451095,0.4397316797430353,0.16680797279499254,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,2,1,0.09058015597343688,0.1057809105326205,0.176048288085827,0.08634423387163495,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,2,3,0.09058015597343688,0.11704227496086222,0.2664548458966009,0.09931183236087249,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,3,0,0.11704227496086222,0.1639309060451095,0.5798359356089058,0.08086534173672401,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,3,1,0.11704227496086222,0.1057809105326205,0.42847686776670113,0.026282315978778496,1.1102230246251565e-16,True,,,,,
step2_trained_tv,pair-alpha-2,3,2,0.11704227496086222,0.09058015597343688,0.2664548458966009,0.09931183236087249,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-0,0,1,0.00010812143043024257,0.00011647977274786721,0.27232900592007064,3.069207515881666e-05,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,0,2,0.00010812143043024257,0.0001775720220878379,0.4397316797430353,0.00015793856766967523,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,0,3,0.00010812143043024257,0.0003112552388222718,0.5798359356089058,0.0003503298017890377,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,1,0,0.00011647977274786721,0.00010812143043024257,0.27232900592007064,3.069207515881666e-05,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,1,2,0.00011647977274786721,0.0001775720220878379,0.176048288085827,0.0003470198432726993,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,1,3,0.00011647977274786721,0.0003112552388222718,0.42847686776670113,0.0004545763860943287,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,2,0,0.0001775720220878379,0.00010812143043024257,0.4397316797430353,0.00015793856766967523,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,2,1,0.0001775720220878379,0.00011647977274786721,0.176048288085827,0.0003470198432726993,7.15573433840433e-18,True,,,,,
